safra,municipio,regiao,chuva_total,temp_media,temp_min_media,et0_total,dias_sem_chuva,tendencia,produtividade_sc_ha
2013,joao_pinheiro,Noroeste,792.5,28.771978021978022,20.486263736263737,844.5,61,12,81.4
2013,lavras,Sul de Minas,931.0,26.69065934065934,18.002747252747252,751.59,40,12,81.4
2013,muriae,Zona da Mata,971.1,29.66428571428571,21.076373626373627,773.47,55,12,81.4
2013,para_de_minas,Central,856.8,27.3043956043956,18.957142857142856,812.83,54,12,81.4
2013,paracatu,Noroeste,1092.1,29.174175824175823,20.53956043956044,837.72,51,12,81.4
2013,passos,Sul de Minas,1058.5,28.064285714285713,19.445054945054945,794.02,31,12,81.4
2013,patos_de_minas,Alto Paranaiba,996.4,27.463186813186812,19.123626373626372,775.78,39,12,81.4
2013,pocos_de_caldas,Sul de Minas,1537.9,24.93736263736264,17.041208791208792,720.63,25,12,81.4
2013,pompeu,Central,1041.3,28.8478021978022,20.536263736263734,844.57,58,12,81.4
2013,presidente_olegario,Alto Paranaiba,996.4,27.443406593406593,19.2510989010989,775.53,39,12,81.4
2013,rio_paranaiba,Alto Paranaiba,1119.7,27.53021978021978,19.338461538461537,753.54,38,12,81.4
2013,sete_lagoas,Central,837.9,28.18736263736264,19.453846153846154,839.45,62,12,81.4
2013,uberaba,Triangulo,1274.3,28.750549450549453,20.458791208791208,831.34,36,12,81.4
2013,uberlandia,Triangulo,972.1,28.07857142857143,19.841758241758242,806.01,41,12,81.4
2013,vicosa,Zona da Mata,841.5,27.055494505494508,19.12197802197802,736.21,54,12,81.4
2014,alfenas,Sul de Minas,615.1,27.147802197802196,18.776373626373626,797.63,72,13,84.2
2014,araxa,Triangulo,632.4,26.803846153846155,18.165934065934064,803.48,60,13,84.2
2014,brasilania_minas,Noroeste,726.2,30.041208791208792,21.407692307692308,902.42,73,13,84.2
2014,carmo_paranaiba,Alto Paranaiba,717.3,26.483516483516482,17.797252747252745,789.53,53,13,84.2
2014,ituiutaba,Triangulo,787.1,30.13296703296703,21.456593406593406,882.93,40,13,84.2
2014,joao_pinheiro,Noroeste,838.9,28.23186813186813,19.936813186813186,832.28,56,13,84.2
2014,lavras,Sul de Minas,586.4,26.54230769230769,17.405494505494506,795.18,69,13,84.2
2014,muriae,Zona da Mata,921.7,29.00824175824176,20.616483516483516,765.9,54,13,84.2
2014,para_de_minas,Central,743.5,27.12912087912088,18.45054945054945,842.59,67,13,84.2
2014,paracatu,Noroeste,1029.0,28.284065934065932,19.88131868131868,806.15,50,13,84.2
2014,passos,Sul de Minas,683.5,28.193406593406593,18.941758241758244,848.29,59,13,84.2
2014,patos_de_minas,Alto Paranaiba,800.8,27.173626373626377,18.473076923076924,791.84,45,13,84.2
2014,pocos_de_caldas,Sul de Minas,958.9,24.843956043956045,16.630769230769232,774.08,44,13,84.2
2014,pompeu,Central,716.4,29.00934065934066,20.323626373626375,891.0,68,13,84.2
2014,presidente_olegario,Alto Paranaiba,800.8,27.091208791208793,18.70769230769231,790.15,45,13,84.2
2014,rio_paranaiba,Alto Paranaiba,844.5,27.35989010989011,18.78956043956044,792.53,51,13,84.2
2014,sete_lagoas,Central,799.3,27.867582417582415,18.86758241758242,860.01,66,13,84.2
2014,uberaba,Triangulo,928.6,28.404395604395607,20.006593406593407,862.65,41,13,84.2
2014,uberlandia,Triangulo,806.5,27.58076923076923,19.184065934065934,818.89,47,13,84.2
